Va,Vb,Vc,Ia,Ib,Ic,Distance,Resistance,Label
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,50.0,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,80.0,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,100.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,0.001,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,1.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,5.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,10.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,20.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,50.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,80.0,0
14471.2853581583,14471.3959726511,14471.4222644046,6.02408807613535,6.0302139967276,6.03670797385139,40,100.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,0.001,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,1.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,5.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,10.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,20.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,50.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,80.0,0
14471.2855604374,14471.3962543962,14471.4225393171,6.02413089510951,6.0302671448283,6.03676239523229,45,100.0,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,0.001,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,1.0,0
